  19 149,   2,  210 258,   0,   33,   693,  9 888,   0,  5 258,   0,   0,   0,   16,   122,   856,   621,   559,   1,   230,   0
   413,  14 299,  117 564,  4 452,   355,  6 219,   70,   5,   0,   0,   0,   318,   62,   0,   54,   17,   4,   0,   0,   0
  101 153,  29 230,  773 702,  19 801,  5 155,  132 642,  62 408,  94 158,  56 579,  9 398,  5 023,  5 094,  10 114,  12 431,  13 308,  9 018,  25 942,  1 364,  7 055,   0
  11 242,  2 522,  33 804,  86 487,  2 496,   462,  15 248,  1 952,  2 319,  2 305,  1 834,   335,  1 182,  5 267,  5 303,  3 400,  2 427,   696,  2 461,   0
   5,   309,  9 394,   79,   904,   268,  3 969,   938,  1 374,   211,   495,   346,   561,  3 978,  9 848,  1 492,  3 399,   91,  1 624,   0
   287,  3 338,  2 519,   0,  4 212,  60 474,  1 034,  1 600,   634,  5 835,  1 714,  1 625,  1 023,  2 781,  12 506,  1 516,  3 456,   109,   352,   0
  26 658,  7 206,  203 543,  4 229,  1 630,  34 038,  27 970,  21 424,  15 015,  8 047,  2 593,  1 642,  6 658,  5 150,  5 078,  5 107,  17 984,   500,  2 944,   0
  9 738,  22 050,  138 468,  5 521,   472,  7 542,  55 505,  57 706,  4 656,  3 005,  7 805,   429,  4 280,  2 541,  8 268,  5 964,  3 479,   233,  10 432,   0
   8,   382,  2 829,   400,   11,   707,  2 379,  1 201,   231,  1 110,  3 436,   87,  1 741,  1 293,  10 935,  2 212,  7 758,   110,  11 284,   0
   41,   982,  15 238,  1 706,   401,  1 352,  14 328,  3 818,   943,  42 760,  22 724,   771,  46 020,  2 655,  13 924,  7 015,  3 638,   399,  2 590,   0
  7 305,  5 759,  48 498,  5 856,  1 121,  9 000,  25 287,  12 432,  3 241,  9 962,  71 121,  20 678,  5 868,  6 360,  52 324,  2 576,  4 700,   672,  2 246,   0
   19,   386,  5 556,  1 246,   272,  1 145,  40 687,  3 719,  5 372,  4 684,  6 039,  1 636,  6 371,  3 530,  3 600,  4 874,  2 372,  3 927,  2 830,   0
  1 324,  17 198,  102 991,  9 152,  1 677,  10 343,  51 427,  11 511,  2 283,  18 089,  29 003,  3 040,  30 600,  8 369,  12 576,  7 315,  5 375,  2 749,  4 787,   0
   239,  7 275,  24 970,  3 764,  1 566,  4 322,  35 488,  15 304,  3 306,  24 884,  25 770,  1 379,  6 719,  7 854,  33 431,  19 603,  15 696,  1 357,  5 260,   0
   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
   4,   180,   538,   131,   1,   2,   774,  1 287,   1,   59,  1 886,   0,  3 500,  1 586,   489,   532,   578,   0,   403,   0
   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   60,   5,  21 117,   0,   0,   0
   0,   0,   0,   0,   0,   0,   1,   0,   16,  2 831,   0,   0,   69,   21,   703,   83,   67,   807,  1 368,   0
   152,   798,  3 393,   747,   0,   153,  3 287,  1 649,   294,  5 577,  2 316,   130,   968,  1 264,   706,   647,  3 604,   17,   400,   0
   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0,   0
